file,main,res,task,f,corpus
EN2002b.Mix-Headset,43.12,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
EN2002b.Mix-Headset,61.06,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
EN2002b.Mix-Headset,0.05,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
EN2002c.Mix-Headset,32.68,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
EN2002c.Mix-Headset,0.03,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
EN2002c.Mix-Headset,24.87,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
EN2002c.Mix-Headset,52.43,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
EN2002c.Mix-Headset,33.64,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_gtvad_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
EN2002c.Mix-Headset,49.08,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_ami_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-der,diar,ami_test.txt,ami
EN2002c.Mix-Headset,24.87,_export_fs01_jsalt19_output_rttms_pipeline_v1_lda120_plda_voxceleb_jsalt19_spkdiar_ami_eval_Mix-Headset_plda_scores_tbest_clean.pyannote-det,det,ami_test.txt,ami
