file	main
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_dev_enr15_test15_clean	14.00
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_dev_enr15_test30_clean	8.66
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_dev_enr15_test5_clean	19.61
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_dev_enr30_clean	21.41
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_dev_enr30_sub_clean	20.05
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_dev_enr30_test15_clean	12.48
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_dev_enr30_test30_clean	6.25
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_dev_enr30_test5_clean	18.68
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_dev_enr5_clean	24.53
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_dev_enr5_sub_clean	22.95
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_dev_enr5_test15_clean	18.20
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_dev_enr5_test30_clean	14.82
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_dev_enr5_test5_clean	22.53
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_eval_enr15_clean	29.01
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_eval_enr15_sub_clean	27.31
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_eval_enr15_test15_clean	19.39
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_eval_enr15_test30_clean	12.87
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_eval_enr15_test5_clean	25.92
resDet/_lda200_splday150_v1_voxceleb_div2_plda_adapt_gtvad_cal_v1_jsalt19_spkdet_ami_eval_enr30_clean	27.60
